ablest 4	['ablest', 'bleats', 'stable', 'tables']
ideals 3	['ideals', 'ladies', 'sailed']

idlest 4	['idlest', 'listed', 'silted', 'tildes']

incest 3	['incest', 'insect', 'nicest']

ingest 3	['ingest', 'signet', 'tinges']

insert 4	['insert', 'inters', 'niters', 'nitres']

insure 4	['insure', 'inures', 'urines', 'ursine']

islets 3	['islets', 'sliest', 'stiles']

kilned 3	['kilned', 'kindle', 'linked']

kitsch 3	['kitsch', 'shtick', 'thicks']

lament 4	['lament', 'mantel', 'mantle', 'mental']

lapins 3	['lapins', 'plains', 'spinal']

lapsed 3	['lapsed', 'pedals', 'pleads']

lapses 3	['lapses', 'passel', 'sepals']

layers 3	['layers', 'relays', 'slayer']

laymen 3	['laymen', 'meanly', 'namely']

leaser 5	['leaser', 'reales', 'resale', 'reseal', 'sealer']

leasts 5	['leasts', 'slates', 'stales', 'steals', 'tassel']

lemons 3	['lemons', 'melons', 'solemn']

liefer 3	['liefer', 'refile', 'relief']

lingos 3	['lingos', 'losing', 'soling']

lisper 3	['lisper', 'perils', 'pliers']

liters 3	['liters', 'litres', 'tilers']

livers 3	['livers', 'silver', 'sliver']

loader 3	['loader', 'ordeal', 'reload']

looped 3	['looped', 'poodle', 'pooled']

loosed 3	['loosed', 'oodles', 'soloed']

louver 3	['louver', 'louvre', 'velour']

lowers 3	['lowers', 'rowels', 'slower']

lowest 3	['lowest', 'owlets', 'towels']

luster 6	['luster', 'lustre', 'result', 'rustle', 'sutler', 'ulster']

manors 3	['manors', 'ransom', 'romans']

master 3	['master', 'stream', 'tamers']

merest 3	['merest', 'meters', 'metres']

merits 6	['merits', 'mister', 'miters', 'mitres', 'remits', 'timers']

naiver 3	['naiver', 'ravine', 'vainer']

neuter 3	['neuter', 'tenure', 'tureen']

onsets 3	['onsets', 'stenos', 'stones']

optics 3	['optics', 'picots', 'topics']

owners 3	['owners', 'resown', 'worsen']

palest 6	['palest', 'pastel', 'petals', 'plates', 'pleats', 'staple']

paltry 3	['paltry', 'partly', 'raptly']

parers 3	['parers', 'rapers', 'sparer']

parley 4	['parley', 'pearly', 'player', 'replay']

parses 5	['parses', 'passer', 'spares', 'sparse', 'spears']

peruse 3	['peruse', 'purees', 'rupees']

pester 3	['pester', 'peters', 'preset']

pilots 3	['pilots', 'pistol', 'spoilt']

pintos 4	['pintos', 'piston', 'pitons', 'points']

posers 3	['posers', 'proses', 'spores']

poster 3	['poster', 'presto', 'tropes']

prates 3	['prates', 'repast', 'tapers']

prides 3	['prides', 'prised', 'spider']

punier 3	['punier', 'purine', 'unripe']

quires 3	['quires', 'risque', 'squire']

rashes 3	['rashes', 'shares', 'shears']

rattan 3	['rattan', 'tantra', 'tartan']

ravels 4	['ravels', 'salver', 'slaver', 'velars']

rawest 3	['rawest', 'waster', 'waters']

refits 4	['refits', 'rifest', 'sifter', 'strife']

reigns 4	['reigns', 'resign', 'signer', 'singer']

resins 3	['resins', 'rinses', 'sirens']

